id;be_tutor;gender;bank_account_number;bank_name;wallet_address
1;false;MALE;pfft min mockingly;hurry;yowza
2;true;OTHER;snare calculating which;wrathful triumphantly;waylay frightfully
3;true;MALE;properly yum;remains;extremely
4;false;FEMALE;along hence;upward hastily masquerade;balcony
5;false;OTHER;hence;furthermore baffle;over
6;false;OTHER;as ripe yippee;brr aboard;well
7;false;FEMALE;workhorse;dimly fine advanced;ick
8;false;MALE;hardship;consequently;yahoo
9;false;FEMALE;nitrogen upwardly freewheel;ah aboard anti;nippy mmm an
10;true;FEMALE;pace retrospectivity at;phooey;aw bowed past
